age,job,housing,month,duration,pdays,previous,ifCreatedAccount
58,2,1,5,261,-1,0,0
44,3,1,5,151,-1,0,0
33,8,1,5,76,-1,0,0
47,1,1,5,92,-1,0,0
33,12,0,5,198,-1,0,0
35,2,1,5,139,-1,0,0
28,2,1,5,217,-1,0,0
42,8,1,5,380,-1,0,0
58,6,1,5,50,-1,0,0
43,3,1,5,55,-1,0,0
41,4,1,5,222,-1,0,0
29,4,1,5,137,-1,0,0
53,3,1,5,517,-1,0,0
58,3,1,5,71,-1,0,0
57,5,1,5,174,-1,0,0
51,6,1,5,353,-1,0,0
45,4,1,5,98,-1,0,0
57,1,1,5,38,-1,0,0
60,6,1,5,219,-1,0,0
33,5,1,5,54,-1,0,0
28,1,1,5,262,-1,0,0
56,2,1,5,164,-1,0,0
32,1,1,5,160,-1,0,0
25,5,1,5,342,-1,0,0
40,6,1,5,181,-1,0,0
44,4,1,5,172,-1,0,0
39,2,1,5,296,-1,0,0
52,8,1,5,127,-1,0,0
46,2,1,5,255,-1,0,0
36,3,1,5,348,-1,0,0
57,3,0,5,225,-1,0,0
49,2,1,5,230,-1,0,0
60,4,1,5,208,-1,0,0
59,1,1,5,226,-1,0,0
51,2,1,5,336,-1,0,0
57,3,1,5,242,-1,0,0
25,1,1,5,365,-1,0,0
53,3,0,5,1666,-1,0,0
36,4,1,5,577,-1,0,0
37,4,1,5,137,-1,0,0
44,5,1,5,160,-1,0,0
50,2,1,5,180,-1,0,0
60,1,1,5,22,-1,0,0
54,6,1,5,1492,-1,0,0
58,6,1,5,616,-1,0,0
36,4,1,5,242,-1,0,0
58,7,1,5,355,-1,0,0
44,3,1,5,225,-1,0,0
55,3,0,5,160,-1,0,0
29,2,1,5,363,-1,0,0
54,1,1,5,266,-1,0,0
48,2,1,5,253,-1,0,0
32,2,1,5,179,-1,0,0
42,4,1,5,787,-1,0,0
24,3,1,5,145,-1,0,0
38,8,0,5,174,-1,0,0
38,2,1,5,104,-1,0,0
47,1,1,5,13,-1,0,0
40,1,1,5,185,-1,0,0
46,5,1,5,1778,-1,0,0
32,4,1,5,138,-1,0,0
53,3,1,5,812,-1,0,0
57,1,1,5,164,-1,0,0
33,5,1,5,391,-1,0,0
49,1,1,5,357,-1,0,0
51,2,1,5,91,-1,0,0
60,6,0,5,528,-1,0,0
59,2,1,5,273,-1,0,0
55,3,1,5,158,-1,0,0
35,1,1,5,177,-1,0,0
57,1,1,5,258,-1,0,0
31,5,1,5,172,-1,0,0
54,2,1,5,154,-1,0,0
55,1,1,5,291,-1,0,0
43,3,1,5,181,-1,0,0
53,3,1,5,176,-1,0,0
44,1,0,5,211,-1,0,0
55,5,0,5,349,-1,0,0
49,5,1,5,272,-1,0,0
55,5,1,5,208,-1,0,0
45,4,1,5,193,-1,0,0
47,5,0,5,212,-1,0,0
42,3,1,5,20,-1,0,0
59,4,1,5,1042,-1,0,1
46,7,1,5,246,-1,0,0
51,1,1,5,529,-1,0,0
56,4,0,5,1467,-1,0,1
41,3,1,5,1389,-1,0,1
46,2,1,5,188,-1,0,0
57,6,1,5,180,-1,0,0
42,2,0,5,48,-1,0,0
30,3,1,5,213,-1,0,0
60,4,1,5,583,-1,0,0
60,1,1,5,221,-1,0,0
57,8,0,5,173,-1,0,0
36,2,1,5,426,-1,0,0
55,1,0,5,287,-1,0,0
60,6,1,5,101,-1,0,0
39,3,1,5,203,-1,0,0
46,2,1,5,197,-1,0,0
44,1,1,5,257,-1,0,0
53,1,0,5,124,-1,0,0
52,1,1,5,229,-1,0,0
59,1,1,5,55,-1,0,0
27,3,1,5,400,-1,0,0
44,1,1,5,197,-1,0,0
47,3,1,5,190,-1,0,0
34,4,0,5,21,-1,0,0
59,6,1,5,514,-1,0,0
45,2,1,5,849,-1,0,0
29,5,1,5,194,-1,0,0
46,3,0,5,144,-1,0,0
56,7,1,5,212,-1,0,0
36,1,1,5,286,-1,0,0
59,6,1,5,107,-1,0,0
44,1,1,5,247,-1,0,0
41,4,1,5,518,-1,0,0
33,2,1,5,364,-1,0,0
59,2,0,5,178,-1,0,0
57,3,0,5,98,-1,0,0
56,3,1,5,439,-1,0,0
51,1,1,5,79,-1,0,0
34,4,1,5,120,-1,0,0
43,5,1,5,127,-1,0,0
52,3,0,5,175,-1,0,0
33,3,1,5,262,-1,0,0
29,4,1,5,61,-1,0,0
34,5,1,5,78,-1,0,0
31,1,1,5,143,-1,0,0
55,5,1,5,579,-1,0,1
55,2,0,5,677,-1,0,0
32,4,1,5,345,-1,0,0
38,3,1,5,185,-1,0,0
55,4,1,5,100,-1,0,0
28,9,1,5,125,-1,0,0
23,1,1,5,193,-1,0,0
32,3,1,5,136,-1,0,0
43,5,0,5,73,-1,0,0
32,1,1,5,528,-1,0,0
46,1,1,5,541,-1,0,0
53,10,1,5,163,-1,0,0
34,7,1,5,301,-1,0,0
57,9,0,5,46,-1,0,0
37,1,1,5,204,-1,0,0
59,1,1,5,98,-1,0,0
33,5,1,5,71,-1,0,0
56,1,1,5,157,-1,0,0
48,9,1,5,243,-1,0,0
43,5,1,5,186,-1,0,0
54,1,1,5,579,-1,0,0
51,1,1,5,163,-1,0,0
26,11,1,5,610,-1,0,0
40,2,1,5,2033,-1,0,0
39,2,1,5,85,-1,0,0
50,3,0,5,114,-1,0,0
41,5,1,5,114,-1,0,0
51,1,1,5,57,-1,0,0
60,6,1,5,238,-1,0,0
52,1,1,5,93,-1,0,0
48,1,1,5,128,-1,0,0
48,5,1,5,107,-1,0,0
39,3,1,5,181,-1,0,0
47,5,1,5,303,-1,0,0
40,1,1,5,558,-1,0,0
45,3,1,5,270,-1,0,0
26,4,1,5,228,-1,0,0
52,2,1,5,99,-1,0,0
54,3,1,5,240,-1,0,0
54,4,0,5,673,-1,0,1
50,1,0,5,233,-1,0,0
35,1,1,5,1056,-1,0,0
44,5,1,5,250,-1,0,0
53,8,1,5,252,-1,0,0
35,6,0,5,138,-1,0,0
60,4,1,5,130,-1,0,0
53,4,1,5,412,-1,0,0
48,9,1,5,179,-1,0,0
34,3,1,5,19,-1,0,0
54,5,1,5,458,-1,0,0
51,2,1,5,717,-1,0,0
31,5,1,5,313,-1,0,0
35,3,1,5,683,-1,0,0
35,5,1,5,1077,-1,0,0
38,3,1,5,416,-1,0,0
36,4,1,5,146,-1,0,0
58,6,1,5,167,-1,0,0
40,5,1,5,315,-1,0,0
54,2,0,5,140,-1,0,0
34,1,1,5,346,-1,0,0
31,2,1,5,562,-1,0,0
51,6,1,5,172,-1,0,0
33,2,1,5,217,-1,0,0
55,2,1,5,142,-1,0,0
