job,education,default,balance,loan,month,ifCreatedAccount
2,3,0,2143,0,5,0
3,2,0,29,0,5,0
8,2,0,2,1,5,0
1,0,0,1506,0,5,0
12,0,0,1,0,5,0
2,3,0,231,0,5,0
2,3,0,447,1,5,0
8,3,1,2,0,5,0
6,1,0,121,0,5,0
3,2,0,593,0,5,0
4,2,0,270,0,5,0
4,2,0,390,0,5,0
3,2,0,6,0,5,0
3,0,0,71,0,5,0
5,2,0,162,0,5,0
6,1,0,229,0,5,0
4,0,0,13,0,5,0
1,1,0,52,0,5,0
6,1,0,60,0,5,0
5,2,0,0,0,5,0
1,2,0,723,1,5,0
2,3,0,779,0,5,0
1,1,0,23,1,5,0
5,2,0,50,0,5,0
6,1,0,0,1,5,0
4,2,0,-372,0,5,0
2,3,0,255,0,5,0
8,2,0,113,1,5,0
2,2,0,-246,0,5,0
3,2,0,265,1,5,0
3,2,0,839,1,5,0
2,3,0,378,0,5,0
4,2,0,39,1,5,0
1,2,0,0,0,5,0
2,3,0,10635,0,5,0
3,2,0,63,0,5,0
1,2,0,-7,0,5,0
3,2,0,-3,0,5,0
4,2,0,506,0,5,0
4,2,0,0,0,5,0
5,2,0,2586,0,5,0
2,2,0,49,0,5,0
1,0,0,104,0,5,0
6,2,0,529,0,5,0
6,0,0,96,0,5,0
4,1,0,-171,0,5,0
7,3,0,-364,0,5,0
3,2,0,0,0,5,0
3,2,0,0,0,5,0
2,3,0,0,0,5,0
1,2,0,1291,0,5,0
2,3,0,-244,0,5,0
2,3,0,0,0,5,0
4,2,0,-76,0,5,0
3,2,0,-103,1,5,0
8,3,0,243,1,5,0
2,3,0,424,0,5,0
1,0,0,306,0,5,0
1,0,0,24,0,5,0
5,1,0,179,0,5,0
4,3,0,0,0,5,0
3,2,0,989,0,5,0
1,1,0,249,0,5,0
5,2,0,790,0,5,0
1,0,0,154,0,5,0
2,3,0,6530,0,5,0
6,3,0,100,0,5,0
2,3,0,59,0,5,0
3,2,0,1205,0,5,0
1,2,0,12223,1,5,0
1,2,0,5935,1,5,0
5,2,0,25,1,5,0
2,2,0,282,1,5,0
1,1,0,23,0,5,0
3,2,0,1937,0,5,0
3,2,0,384,0,5,0
1,2,0,582,1,5,0
5,2,0,91,0,5,0
5,2,0,0,1,5,0
5,2,1,1,0,5,0
4,2,0,206,0,5,0
5,2,0,164,0,5,0
3,2,0,690,0,5,0
4,2,0,2343,0,5,1
7,3,0,137,1,5,0
1,1,0,173,0,5,0
4,2,0,45,0,5,1
3,2,0,1270,0,5,1
2,2,0,16,1,5,0
6,2,0,486,0,5,0
2,2,0,50,0,5,0
3,2,0,152,1,5,0
4,2,0,290,0,5,0
1,0,0,54,0,5,0
8,2,0,-37,0,5,0
2,3,0,101,1,5,0
1,2,0,383,0,5,0
6,3,0,81,0,5,0
3,2,0,0,0,5,0
2,3,0,229,0,5,0
1,2,0,-674,0,5,0
1,1,0,90,0,5,0
1,1,0,128,0,5,0
1,1,0,179,0,5,0
3,3,0,0,0,5,0
1,2,0,54,0,5,0
3,3,0,151,0,5,0
4,2,0,61,1,5,0
6,2,0,30,0,5,0
2,3,0,523,0,5,0
5,2,0,31,0,5,0
3,2,0,79,0,5,0
7,1,0,-34,1,5,0
1,1,0,448,0,5,0
6,1,0,81,0,5,0
1,2,0,144,0,5,0
4,2,0,351,0,5,0
2,3,0,-67,0,5,0
2,3,0,262,0,5,0
3,1,0,0,0,5,0
3,0,0,56,0,5,0
1,2,0,26,0,5,0
4,0,0,3,0,5,0
5,2,0,41,1,5,0
3,3,0,7,1,5,0
3,2,0,105,0,5,0
4,2,0,818,1,5,0
5,2,0,-16,1,5,0
1,2,0,0,0,5,0
5,2,0,2476,0,5,1
2,0,0,1185,0,5,0
4,2,0,217,0,5,0
3,2,0,1685,0,5,0
4,2,0,802,1,5,0
9,3,0,0,0,5,0
1,2,0,94,0,5,0
3,2,0,0,0,5,0
5,0,0,0,0,5,0
1,2,0,517,0,5,0
1,2,0,265,0,5,0
10,1,0,947,0,5,0
