age,job,education,balance,month,pdays,ifCreatedAccount,housingLoan
58,2,3,2143,5,-1,0,1
44,3,2,29,5,-1,0,1
33,8,2,2,5,-1,0,1
47,1,0,1506,5,-1,0,1
33,12,0,1,5,-1,0,0
35,2,3,231,5,-1,0,1
28,2,3,447,5,-1,0,1
42,8,3,2,5,-1,0,1
58,6,1,121,5,-1,0,1
43,3,2,593,5,-1,0,1
41,4,2,270,5,-1,0,1
29,4,2,390,5,-1,0,1
53,3,2,6,5,-1,0,1
58,3,0,71,5,-1,0,1
57,5,2,162,5,-1,0,1
51,6,1,229,5,-1,0,1
45,4,0,13,5,-1,0,1
57,1,1,52,5,-1,0,1
60,6,1,60,5,-1,0,1
33,5,2,0,5,-1,0,1
28,1,2,723,5,-1,0,1
56,2,3,779,5,-1,0,1
32,1,1,23,5,-1,0,1
25,5,2,50,5,-1,0,1
40,6,1,0,5,-1,0,1
44,4,2,-372,5,-1,0,1
39,2,3,255,5,-1,0,1
52,8,2,113,5,-1,0,1
46,2,2,-246,5,-1,0,1
36,3,2,265,5,-1,0,1
57,3,2,839,5,-1,0,0
49,2,3,378,5,-1,0,1
60,4,2,39,5,-1,0,1
59,1,2,0,5,-1,0,1
51,2,3,10635,5,-1,0,1
57,3,2,63,5,-1,0,1
25,1,2,-7,5,-1,0,1
53,3,2,-3,5,-1,0,0
36,4,2,506,5,-1,0,1
37,4,2,0,5,-1,0,1
44,5,2,2586,5,-1,0,1
50,2,2,49,5,-1,0,1
60,1,0,104,5,-1,0,1
54,6,2,529,5,-1,0,1
58,6,0,96,5,-1,0,1
36,4,1,-171,5,-1,0,1
58,7,3,-364,5,-1,0,1
44,3,2,0,5,-1,0,1
55,3,2,0,5,-1,0,0
29,2,3,0,5,-1,0,1
54,1,2,1291,5,-1,0,1
48,2,3,-244,5,-1,0,1
32,2,3,0,5,-1,0,1
42,4,2,-76,5,-1,0,1
24,3,2,-103,5,-1,0,1
38,8,3,243,5,-1,0,0
38,2,3,424,5,-1,0,1
47,1,0,306,5,-1,0,1
40,1,0,24,5,-1,0,1
46,5,1,179,5,-1,0,1
32,4,3,0,5,-1,0,1
53,3,2,989,5,-1,0,1
57,1,1,249,5,-1,0,1
33,5,2,790,5,-1,0,1
49,1,0,154,5,-1,0,1
51,2,3,6530,5,-1,0,1
60,6,3,100,5,-1,0,0
59,2,3,59,5,-1,0,1
55,3,2,1205,5,-1,0,1
35,1,2,12223,5,-1,0,1
57,1,2,5935,5,-1,0,1
31,5,2,25,5,-1,0,1
54,2,2,282,5,-1,0,1
55,1,1,23,5,-1,0,1
43,3,2,1937,5,-1,0,1
53,3,2,384,5,-1,0,1
44,1,2,582,5,-1,0,0
55,5,2,91,5,-1,0,0
49,5,2,0,5,-1,0,1
55,5,2,1,5,-1,0,1
45,4,2,206,5,-1,0,1
47,5,2,164,5,-1,0,0
42,3,2,690,5,-1,0,1
59,4,2,2343,5,-1,1,1
46,7,3,137,5,-1,0,1
51,1,1,173,5,-1,0,1
56,4,2,45,5,-1,1,0
41,3,2,1270,5,-1,1,1
46,2,2,16,5,-1,0,1
57,6,2,486,5,-1,0,1
42,2,2,50,5,-1,0,0
30,3,2,152,5,-1,0,1
60,4,2,290,5,-1,0,1
60,1,0,54,5,-1,0,1
57,8,2,-37,5,-1,0,0
36,2,3,101,5,-1,0,1
55,1,2,383,5,-1,0,0
60,6,3,81,5,-1,0,1
39,3,2,0,5,-1,0,1
46,2,3,229,5,-1,0,1
44,1,2,-674,5,-1,0,1
53,1,1,90,5,-1,0,0
